Path,Character,Label,Text,Notes,Classes,Classes_idx
External0/External0 00053.wav,娜塔莎,12,,,,
External0/External0 00054.wav,未分类-女,1,,,,
External0/External0 00055.wav,未分类-男,0,,,,
External0/External0 00056.wav,未分类-女,1,,,,
External0/External0 00057.wav,未分类-男,0,,,,
External0/External0 00058.wav,未分类-男,0,,,,
External0/External0 00059.wav,黑塔,13,,,,
External0/External0 00060.wav,三月七,2,,,,
External0/External0 00061.wav,未分类-女,1,,,,
External0/External0 00062.wav,阿兰,14,,,,
External0/External0 00063.wav,三月七,2,,,,
External0/External0 00064.wav,帕姆,8,,,,
External0/External0 00065.wav,三月七,2,,,,
External0/External0 00066.wav,素裳,15,,,,
External0/External0 00067.wav,未分类-女,1,,,,
External0/External0 00068.wav,未分类-女,1,,,,
External0/External0 00069.wav,希露瓦,3,,,,
External0/External0 00070.wav,未分类-女,1,,,,
External0/External0 00071.wav,虎克,6,,,,
External0/External0 00072.wav,符玄,16,,,,
External0/External0 00073.wav,未分类-男,0,,,,
External0/External0 00074.wav,克拉拉,5,,,,
External0/External0 00075.wav,希露瓦,3,,,,
External0/External0 00076.wav,未分类-男,0,,,,
External0/External0 00077.wav,未分类-女,1,,,,
External0/External0 00078.wav,未分类-男,0,,,,
External0/External0 00079.wav,桑博,17,,,,
External0/External0 00080.wav,未分类-女,1,,,,
External0/External0 00081.wav,未分类-男,0,,,,
External0/External0 00082.wav,三月七,2,,,,
External0/External0 00083.wav,三月七,2,,,,
External0/External0 00084.wav,符玄,16,,,,
External0/External0 00085.wav,克拉拉,5,,,,
External0/External0 00086.wav,三月七,2,,,,
External0/External0 00087.wav,布洛妮娅,7,,,,
External0/External0 00088.wav,卡芙卡,10,,,,
External0/External0 00089.wav,未分类-女,1,,,,
External0/External0 00090.wav,克拉拉,5,,,,
External0/External0 00091.wav,桑博,17,,,,
External0/External0 00092.wav,未分类-女,1,,,,
External0/External0 00093.wav,希露瓦,3,,,,
External0/External0 00094.wav,三月七,2,,,,
External0/External0 00095.wav,卡芙卡,10,,,,
External0/External0 00096.wav,虎克,6,,,,
External0/External0 00097.wav,未分类-男,0,,,,
External0/External0 00098.wav,未分类-女,1,,,,
External0/External0 00099.wav,克拉拉,5,,,,
External0/External0 00100.wav,虎克,6,,,,
External0/External0 00101.wav,未分类-男,0,,,,
External0/External0 00102.wav,未分类-女,1,,,,
External0/External0 00103.wav,未分类-女,1,,,,
External0/External0 00104.wav,未分类-女,1,,,,
External0/External0 00105.wav,虎克,6,,,,
External0/External0 00106.wav,三月七,2,,,,
External0/External0 00107.wav,三月七,2,,,,
External0/External0 00108.wav,未分类-男,0,,,,
External0/External0 00109.wav,克拉拉,5,,,,
External0/External0 00110.wav,未分类-男,0,,,,
External0/External0 00111.wav,希露瓦,3,,,,
External0/External0 00112.wav,符玄,16,,,,
External0/External0 00113.wav,未分类-女,1,,,,
External0/External0 00114.wav,未分类-男,0,,,,
External0/External0 00115.wav,未分类-男,0,,,,
External0/External0 00116.wav,三月七,2,,,,
External0/External0 00117.wav,克拉拉,5,,,,
External0/External0 00118.wav,未分类-女,1,,,,
External0/External0 00119.wav,未分类-女,1,,,,
External0/External0 00120.wav,未分类-女,1,,,,
External0/External0 00121.wav,未分类-女,1,,,,
External0/External0 00122.wav,未分类-男,0,,,,
External0/External0 00123.wav,希露瓦,3,,,,
External0/External0 00124.wav,卡芙卡,10,,,,
External0/External0 00125.wav,希露瓦,3,,,,
External0/External0 00126.wav,未分类-男,0,,,,
External0/External0 00127.wav,克拉拉,5,,,,
External0/External0 00128.wav,未分类-男,0,,,,
External0/External0 00129.wav,未分类-女,1,,,,
External0/External0 00130.wav,虎克,6,,,,
External0/External0 00131.wav,未分类-男,0,,,,
External0/External0 00132.wav,未分类-女,1,,,,
External0/External0 00133.wav,克拉拉,5,,,,
External0/External0 00134.wav,未分类-男,0,,,,
External0/External0 00135.wav,未分类-女,1,,,,
External0/External0 00136.wav,三月七,2,,,,
External0/External0 00137.wav,未分类-女,1,,,,
External0/External0 00138.wav,希露瓦,3,,,,
External0/External0 00139.wav,克拉拉,5,,,,
External0/External0 00140.wav,未分类-女,1,,,,
External0/External0 00141.wav,三月七,2,,,,
External0/External0 00142.wav,三月七,2,,,,
External0/External0 00143.wav,未分类-女,1,,,,
External0/External0 00144.wav,布洛妮娅,7,,,,
External0/External0 00145.wav,桑博,17,,,,
External0/External0 00146.wav,姬子,4,,,,
External0/External0 00147.wav,桑博,17,,,,
External0/External0 00148.wav,三月七,2,,,,
External0/External0 00149.wav,克拉拉,5,,,,
External0/External0 00150.wav,艾丝妲,18,,,,
External0/External0 00151.wav,姬子,4,,,,
External0/External0 00152.wav,未分类-男,0,,,,
External0/External0 00153.wav,阿兰,14,,,,
External0/External0 00154.wav,未分类-女,1,,,,
External0/External0 00155.wav,虎克,6,,,,
External0/External0 00156.wav,未分类-男,0,,,,
External0/External0 00157.wav,三月七,2,,,,
External0/External0 00158.wav,未分类-男,0,,,,
External0/External0 00159.wav,未分类-女,1,,,,
External0/External0 00160.wav,未分类-男,0,,,,
External0/External0 00161.wav,三月七,2,,,,
External0/External0 00162.wav,机器人,9,,,,
External0/External0 00163.wav,未分类-女,1,,,,
External0/External0 00164.wav,未分类-男,0,,,,
External0/External0 00165.wav,希露瓦,3,,,,
External0/External0 00166.wav,未分类-女,1,,,,
External0/External0 00167.wav,虎克,6,,,,
External0/External0 00168.wav,三月七,2,,,,
External0/External0 00169.wav,景元,19,,,,
External0/External0 00170.wav,未分类-女,1,,,,
External0/External0 00171.wav,虎克,6,,,,
External0/External0 00172.wav,未分类-女,1,,,,
External0/External0 00173.wav,未分类-男,0,,,,
External0/External0 00174.wav,未分类-女,1,,,,
External0/External0 00175.wav,银狼,20,,,,
External0/External0 00176.wav,克拉拉,5,,,,
External0/External0 00177.wav,未分类-女,1,,,,
External0/External0 00178.wav,未分类-女,1,,,,
External0/External0 00179.wav,未分类-女,1,,,,
External0/External0 00180.wav,三月七,2,,,,
External0/External0 00181.wav,未分类-男,0,,,,
External0/External0 00182.wav,未分类-男,0,,,,
External0/External0 00183.wav,克拉拉,5,,,,
External0/External0 00184.wav,布洛妮娅,7,,,,
External0/External0 00185.wav,布洛妮娅,7,,,,
External0/External0 00186.wav,未分类-男,0,,,,
External0/External0 00187.wav,娜塔莎,12,,,,
External0/External0 00188.wav,三月七,2,,,,
External0/External0 00189.wav,未分类-男,0,,,,
External0/External0 00190.wav,未分类-女,1,,,,
External0/External0 00191.wav,三月七,2,,,,
External0/External0 00192.wav,虎克,6,,,,
External0/External0 00193.wav,布洛妮娅,7,,,,
External0/External0 00194.wav,丹恒,21,,,,
External0/External0 00195.wav,未分类-女,1,,,,
External0/External0 00196.wav,三月七,2,,,,
External0/External0 00197.wav,未分类-男,0,,,,
External0/External0 00198.wav,三月七,2,,,,
External0/External0 00199.wav,三月七,2,,,,
External0/External0 00200.wav,未分类-男,0,,,,
External0/External0 00201.wav,虎克,6,,,,
External0/External0 00202.wav,未分类-女,1,,,,
External0/External0 00203.wav,未分类-女,1,,,,
External0/External0 00204.wav,未分类-男,0,,,,
External0/External0 00205.wav,艾丝妲,18,,,,
External0/External0 00206.wav,桑博,17,,,,
External0/External0 00207.wav,三月七,2,,,,
External0/External0 00208.wav,未分类-女,1,,,,
External0/External0 00209.wav,未分类-女,1,,,,
External0/External0 00210.wav,未分类-女,1,,,,
External0/External0 00211.wav,未分类-男,0,,,,
External0/External0 00212.wav,三月七,2,,,,
External0/External0 00213.wav,未分类-女,1,,,,
External0/External0 00214.wav,未分类-男,0,,,,
External0/External0 00215.wav,黑塔,13,,,,
External0/External0 00216.wav,未分类-女,1,,,,
External0/External0 00217.wav,克拉拉,5,,,,
External0/External0 00218.wav,布洛妮娅,7,,,,
External0/External0 00219.wav,杰帕德,22,,,,
External0/External0 00220.wav,杨叔,11,,,,
External0/External0 00221.wav,机器人,9,,,,
External0/External0 00222.wav,未分类-女,1,,,,
External0/External0 00223.wav,卡芙卡,10,,,,
External0/External0 00224.wav,三月七,2,,,,
External0/External0 00225.wav,姬子,4,,,,
External0/External0 00226.wav,艾丝妲,18,,,,
External0/External0 00227.wav,虎克,6,,,,
External0/External0 00228.wav,希露瓦,3,,,,
External0/External0 00229.wav,未分类-女,1,,,,
External0/External0 00230.wav,停云,23,,,,
External0/External0 00231.wav,杨叔,11,,,,
External0/External0 00232.wav,未分类-女,1,,,,
External0/External0 00233.wav,桑博,17,,,,
External0/External0 00234.wav,未分类-男,0,,,,
External0/External0 00235.wav,未分类-女,1,,,,
External0/External0 00236.wav,未分类-女,1,,,,
External0/External0 00237.wav,未分类-女,1,,,,
External0/External0 00238.wav,未分类-女,1,,,,
External0/External0 00239.wav,未分类-女,1,,,,
External0/External0 00240.wav,素裳,15,,,,
External0/External0 00241.wav,三月七,2,,,,
External0/External0 00242.wav,未分类-女,1,,,,
External0/External0 00243.wav,未分类-男,0,,,,
External0/External0 00244.wav,三月七,2,,,,
External0/External0 00245.wav,未分类-女,1,,,,
External0/External0 00246.wav,未分类-男,0,,,,
External0/External0 00247.wav,未分类-女,1,,,,
External0/External0 00248.wav,未分类-女,1,,,,
External0/External0 00249.wav,未分类-男,0,,,,
External0/External0 00250.wav,未分类-男,0,,,,
External0/External0 00251.wav,未分类-女,1,,,,
External0/External0 00252.wav,未分类-男,0,,,,
External0/External0 00253.wav,未分类-女,1,,,,
External0/External0 00254.wav,卡芙卡,10,,,,
External0/External0 00255.wav,未分类-女,1,,,,
External0/External0 00256.wav,三月七,2,,,,
External0/External0 00257.wav,三月七,2,,,,
External0/External0 00258.wav,杰帕德,22,,,,
External0/External0 00259.wav,希露瓦,3,,,,
External0/External0 00260.wav,未分类-女,1,,,,
External0/External0 00261.wav,杰帕德,22,,,,
External0/External0 00262.wav,布洛妮娅,7,,,,
External0/External0 00263.wav,三月七,2,,,,
External0/External0 00264.wav,未分类-女,1,,,,
External0/External0 00265.wav,未分类-女,1,,,,
External0/External0 00266.wav,未分类-男,0,,,,
External0/External0 00267.wav,未分类-女,1,,,,
External0/External0 00268.wav,未分类-女,1,,,,
External0/External0 00269.wav,未分类-男,0,,,,
External0/External0 00270.wav,未分类-男,0,,,,
External0/External0 00271.wav,三月七,2,,,,
External0/External0 00272.wav,三月七,2,,,,
External0/External0 00273.wav,机器人,9,,,,
External0/External0 00274.wav,未分类-女,1,,,,
External0/External0 00275.wav,未分类-男,0,,,,
External0/External0 00276.wav,未分类-女,1,,,,
External0/External0 00277.wav,三月七,2,,,,
External0/External0 00278.wav,娜塔莎,12,,,,
External0/External0 00279.wav,娜塔莎,12,,,,
External0/External0 00280.wav,未分类-男,0,,,,
External0/External0 00281.wav,未分类-女,1,,,,
External0/External0 00282.wav,三月七,2,,,,
External0/External0 00283.wav,三月七,2,,,,
External0/External0 00284.wav,未分类-男,0,,,,
External0/External0 00285.wav,未分类-男,0,,,,
External0/External0 00286.wav,克拉拉,5,,,,
External0/External0 00287.wav,未分类-女,1,,,,
External0/External0 00288.wav,未分类-男,0,,,,
External0/External0 00289.wav,黑塔,13,,,,
External0/External0 00290.wav,未分类-女,1,,,,
External0/External0 00291.wav,帕姆,8,,,,
External0/External0 00292.wav,未分类-男,0,,,,
External0/External0 00293.wav,三月七,2,,,,
External0/External0 00294.wav,三月七,2,,,,
External0/External0 00295.wav,希露瓦,3,,,,
External0/External0 00296.wav,未分类-女,1,,,,
External0/External0 00297.wav,未分类-女,1,,,,
External0/External0 00298.wav,未分类-女,1,,,,
External0/External0 00299.wav,未分类-女,1,,,,
External0/External0 00300.wav,杨叔,11,,,,
External0/External0 00301.wav,未分类-男,0,,,,
External0/External0 00302.wav,未分类-男,0,,,,
External0/External0 00303.wav,未分类-女,1,,,,
External0/External0 00304.wav,未分类-男,0,,,,
External0/External0 00305.wav,娜塔莎,12,,,,
External0/External0 00306.wav,未分类-女,1,,,,
External0/External0 00307.wav,希露瓦,3,,,,
External0/External0 00308.wav,希露瓦,3,,,,
External0/External0 00309.wav,未分类-女,1,,,,
External0/External0 00310.wav,未分类-男,0,,,,
External0/External0 00311.wav,未分类-女,1,,,,
External0/External0 00312.wav,布洛妮娅,7,,,,
External0/External0 00313.wav,布洛妮娅,7,,,,
External0/External0 00314.wav,三月七,2,,,,
External0/External0 00315.wav,未分类-男,0,,,,
External0/External0 00316.wav,未分类-女,1,,,,
External0/External0 00317.wav,未分类-男,0,,,,
External0/External0 00318.wav,克拉拉,5,,,,
External0/External0 00319.wav,未分类-男,0,,,,
External0/External0 00320.wav,未分类-男,0,,,,
External0/External0 00321.wav,希露瓦,3,,,,
External0/External0 00322.wav,克拉拉,5,,,,
External0/External0 00323.wav,未分类-女,1,,,,
External0/External0 00324.wav,虎克,6,,,,
External0/External0 00325.wav,未分类-女,1,,,,
External0/External0 00326.wav,未分类-女,1,,,,
External0/External0 00327.wav,未分类-男,0,,,,
External0/External0 00328.wav,姬子,4,,,,
External0/External0 00329.wav,未分类-女,1,,,,
External0/External0 00330.wav,未分类-女,1,,,,
External0/External0 00331.wav,未分类-男,0,,,,
External0/External0 00332.wav,三月七,2,,,,
External0/External0 00333.wav,未分类-男,0,,,,
External0/External0 00334.wav,三月七,2,,,,
External0/External0 00335.wav,虎克,6,,,,
External0/External0 00336.wav,三月七,2,,,,
External0/External0 00337.wav,虎克,6,,,,
External0/External0 00338.wav,未分类-女,1,,,,
External0/External0 00339.wav,三月七,2,,,,
External0/External0 00340.wav,未分类-男,0,,,,
External0/External0 00341.wav,希露瓦,3,,,,
External0/External0 00342.wav,未分类-女,1,,,,
External0/External0 00343.wav,希露瓦,3,,,,
External0/External0 00344.wav,未分类-女,1,,,,
External0/External0 00345.wav,未分类-男,0,,,,
External0/External0 00346.wav,杨叔,11,,,,
External0/External0 00347.wav,未分类-男,0,,,,
External0/External0 00348.wav,希露瓦,3,,,,
External0/External0 00349.wav,虎克,6,,,,
External0/External0 00350.wav,希露瓦,3,,,,
External0/External0 00351.wav,丹恒,21,,,,
External0/External0 00352.wav,未分类-女,1,,,,
External0/External0 00353.wav,未分类-女,1,,,,
External0/External0 00354.wav,未分类-女,1,,,,
External0/External0 00355.wav,佩拉,24,,,,
External0/External0 00356.wav,杨叔,11,,,,
External0/External0 00357.wav,希露瓦,3,,,,
External0/External0 00358.wav,未分类-女,1,,,,
External0/External0 00359.wav,克拉拉,5,,,,
External0/External0 00360.wav,丹恒,21,,,,
External0/External0 00361.wav,未分类-女,1,,,,
External0/External0 00362.wav,未分类-男,0,,,,
External0/External0 00363.wav,未分类-女,1,,,,
External0/External0 00364.wav,虎克,6,,,,
External0/External0 00365.wav,希露瓦,3,,,,
External0/External0 00366.wav,未分类-男,0,,,,
External0/External0 00367.wav,未分类-男,0,,,,
External0/External0 00368.wav,未分类-男,0,,,,
External0/External0 00369.wav,帕姆,8,,,,
External0/External0 00370.wav,未分类-男,0,,,,
External0/External0 00371.wav,姬子,4,,,,
External0/External0 00372.wav,未分类-女,1,,,,
External0/External0 00373.wav,未分类-男,0,,,,
External0/External0 00374.wav,虎克,6,,,,
External0/External0 00375.wav,景元,19,,,,
External0/External0 00376.wav,虎克,6,,,,
External0/External0 00377.wav,虎克,6,,,,
External0/External0 00378.wav,未分类-男,0,,,,
External0/External0 00379.wav,未分类-女,1,,,,
External0/External0 00380.wav,杨叔,11,,,,
External0/External0 00381.wav,未分类-女,1,,,,
External0/External0 00382.wav,虎克,6,,,,
External0/External0 00383.wav,姬子,4,,,,
External0/External0 00384.wav,未分类-女,1,,,,
External1/External1 00001.wav,,,,,,
External1/External1 00002.wav,,,,,,
External1/External1 00003.wav,,,,,,
External1/External1 00004.wav,,,,,,
External1/External1 00005.wav,,,,,,
External1/External1 00006.wav,,,,,,
External1/External1 00007.wav,,,,,,
External1/External1 00008.wav,,,,,,
External1/External1 00009.wav,,,,,,
External1/External1 00010.wav,,,,,,
External1/External1 00011.wav,,,,,,
External1/External1 00012.wav,,,,,,
External1/External1 00013.wav,,,,,,
External1/External1 00014.wav,,,,,,
External1/External1 00015.wav,,,,,,
External1/External1 00016.wav,,,,,,
External1/External1 00017.wav,,,,,,
External1/External1 00018.wav,,,,,,
External1/External1 00019.wav,,,,,,
External1/External1 00020.wav,,,,,,
External1/External1 00021.wav,,,,,,
External1/External1 00022.wav,,,,,,
External1/External1 00023.wav,,,,,,
External1/External1 00024.wav,,,,,,
External1/External1 00025.wav,,,,,,
External1/External1 00026.wav,,,,,,
External1/External1 00027.wav,,,,,,
External1/External1 00028.wav,,,,,,
External1/External1 00029.wav,,,,,,
External1/External1 00030.wav,,,,,,
External1/External1 00031.wav,,,,,,
External1/External1 00032.wav,,,,,,
External1/External1 00033.wav,,,,,,
External1/External1 00034.wav,,,,,,
External1/External1 00035.wav,,,,,,
External1/External1 00036.wav,,,,,,
External1/External1 00037.wav,,,,,,
External1/External1 00038.wav,,,,,,
External1/External1 00039.wav,,,,,,
External1/External1 00040.wav,,,,,,
External1/External1 00041.wav,,,,,,
External1/External1 00042.wav,,,,,,
External1/External1 00043.wav,,,,,,
External1/External1 00044.wav,,,,,,
External1/External1 00045.wav,,,,,,
External1/External1 00046.wav,,,,,,
External1/External1 00047.wav,,,,,,
External1/External1 00048.wav,,,,,,
External1/External1 00049.wav,,,,,,
External1/External1 00050.wav,,,,,,
External1/External1 00051.wav,,,,,,
External1/External1 00052.wav,,,,,,
External1/External1 00053.wav,,,,,,
External1/External1 00054.wav,,,,,,
External1/External1 00055.wav,,,,,,
External1/External1 00056.wav,,,,,,
External1/External1 00057.wav,,,,,,
External1/External1 00058.wav,,,,,,
External1/External1 00059.wav,,,,,,
External1/External1 00060.wav,,,,,,
External1/External1 00061.wav,,,,,,
External1/External1 00062.wav,,,,,,
External1/External1 00063.wav,,,,,,
External1/External1 00064.wav,,,,,,
External1/External1 00065.wav,,,,,,
External1/External1 00066.wav,,,,,,
External1/External1 00067.wav,,,,,,
External1/External1 00068.wav,,,,,,
External1/External1 00069.wav,,,,,,
External1/External1 00070.wav,,,,,,
External1/External1 00071.wav,,,,,,
External1/External1 00072.wav,,,,,,
External1/External1 00073.wav,,,,,,
External1/External1 00074.wav,,,,,,
External1/External1 00075.wav,,,,,,
External1/External1 00076.wav,,,,,,
External1/External1 00077.wav,,,,,,
External1/External1 00078.wav,,,,,,
External1/External1 00079.wav,,,,,,
External1/External1 00080.wav,,,,,,
External1/External1 00081.wav,,,,,,
External1/External1 00082.wav,,,,,,
External1/External1 00083.wav,,,,,,
External1/External1 00084.wav,,,,,,
External1/External1 00085.wav,,,,,,
External1/External1 00086.wav,,,,,,
External1/External1 00087.wav,,,,,,
External1/External1 00088.wav,,,,,,
External1/External1 00089.wav,,,,,,
External1/External1 00090.wav,,,,,,
External1/External1 00091.wav,,,,,,
External1/External1 00092.wav,,,,,,
External1/External1 00093.wav,,,,,,
External1/External1 00094.wav,,,,,,
External1/External1 00095.wav,,,,,,
External1/External1 00096.wav,,,,,,
External1/External1 00097.wav,,,,,,
External1/External1 00098.wav,,,,,,
External1/External1 00099.wav,,,,,,
External1/External1 00100.wav,,,,,,
External1/External1 00101.wav,,,,,,
External1/External1 00102.wav,,,,,,
External1/External1 00103.wav,,,,,,
External1/External1 00104.wav,,,,,,
External1/External1 00105.wav,,,,,,
External1/External1 00106.wav,,,,,,
External1/External1 00107.wav,,,,,,
External1/External1 00108.wav,,,,,,
External1/External1 00109.wav,,,,,,
External1/External1 00110.wav,,,,,,
External1/External1 00111.wav,,,,,,
External1/External1 00112.wav,,,,,,
External1/External1 00113.wav,,,,,,
External1/External1 00114.wav,,,,,,
External1/External1 00115.wav,,,,,,
External1/External1 00116.wav,,,,,,
External1/External1 00117.wav,,,,,,
External1/External1 00118.wav,,,,,,
External1/External1 00119.wav,,,,,,
External1/External1 00120.wav,,,,,,
External1/External1 00121.wav,,,,,,
External1/External1 00122.wav,,,,,,
External1/External1 00123.wav,,,,,,
External1/External1 00124.wav,,,,,,
External1/External1 00125.wav,,,,,,
External1/External1 00126.wav,,,,,,
External1/External1 00127.wav,,,,,,
External1/External1 00128.wav,,,,,,
External1/External1 00129.wav,,,,,,
External1/External1 00130.wav,,,,,,
External1/External1 00131.wav,,,,,,
External1/External1 00132.wav,,,,,,
External1/External1 00133.wav,,,,,,
External1/External1 00134.wav,,,,,,
External1/External1 00135.wav,,,,,,
External1/External1 00136.wav,,,,,,
External1/External1 00137.wav,,,,,,
External1/External1 00138.wav,,,,,,
External1/External1 00139.wav,,,,,,
External1/External1 00140.wav,,,,,,
External1/External1 00141.wav,,,,,,
External1/External1 00142.wav,,,,,,
External1/External1 00143.wav,,,,,,
External1/External1 00144.wav,,,,,,
External1/External1 00145.wav,,,,,,
External1/External1 00146.wav,,,,,,
External1/External1 00147.wav,,,,,,
External1/External1 00148.wav,,,,,,
External1/External1 00149.wav,,,,,,
External1/External1 00150.wav,,,,,,
External1/External1 00151.wav,,,,,,
External1/External1 00152.wav,,,,,,
External1/External1 00153.wav,,,,,,
External1/External1 00154.wav,,,,,,
External1/External1 00155.wav,,,,,,
External1/External1 00156.wav,,,,,,
External1/External1 00157.wav,,,,,,
External1/External1 00158.wav,,,,,,
External1/External1 00159.wav,,,,,,
External1/External1 00160.wav,,,,,,
External1/External1 00161.wav,,,,,,
External1/External1 00162.wav,,,,,,
External1/External1 00163.wav,,,,,,
External1/External1 00164.wav,,,,,,
External1/External1 00165.wav,,,,,,
External1/External1 00166.wav,,,,,,
External1/External1 00167.wav,,,,,,
External1/External1 00168.wav,,,,,,
External1/External1 00169.wav,,,,,,
External1/External1 00170.wav,,,,,,
External1/External1 00171.wav,,,,,,
External1/External1 00172.wav,,,,,,
External1/External1 00173.wav,,,,,,
External1/External1 00174.wav,,,,,,
External1/External1 00175.wav,,,,,,
External1/External1 00176.wav,,,,,,
External1/External1 00177.wav,,,,,,
External1/External1 00178.wav,,,,,,
External1/External1 00179.wav,,,,,,
External1/External1 00180.wav,,,,,,
External1/External1 00181.wav,,,,,,
External1/External1 00182.wav,,,,,,
External1/External1 00183.wav,,,,,,
External1/External1 00184.wav,,,,,,
External1/External1 00185.wav,,,,,,
External1/External1 00186.wav,,,,,,
External1/External1 00187.wav,,,,,,
External1/External1 00188.wav,,,,,,
External1/External1 00189.wav,,,,,,
External1/External1 00190.wav,,,,,,
External1/External1 00191.wav,,,,,,
External1/External1 00192.wav,,,,,,
External1/External1 00193.wav,,,,,,
External1/External1 00194.wav,,,,,,
External1/External1 00195.wav,,,,,,
External1/External1 00196.wav,,,,,,
External1/External1 00197.wav,,,,,,
External1/External1 00198.wav,,,,,,
External1/External1 00199.wav,,,,,,
External1/External1 00200.wav,,,,,,
External1/External1 00201.wav,,,,,,
External1/External1 00202.wav,,,,,,
External1/External1 00203.wav,,,,,,
External1/External1 00204.wav,,,,,,
External1/External1 00205.wav,,,,,,
External1/External1 00206.wav,,,,,,
External1/External1 00207.wav,,,,,,
External1/External1 00208.wav,,,,,,
External1/External1 00209.wav,,,,,,
External1/External1 00210.wav,,,,,,
External1/External1 00211.wav,,,,,,
External1/External1 00212.wav,,,,,,
External1/External1 00213.wav,,,,,,
External1/External1 00214.wav,,,,,,
External1/External1 00215.wav,,,,,,
External1/External1 00216.wav,,,,,,
External1/External1 00217.wav,,,,,,
External1/External1 00218.wav,,,,,,
External1/External1 00219.wav,,,,,,
External1/External1 00220.wav,,,,,,
External1/External1 00221.wav,,,,,,
External1/External1 00222.wav,,,,,,
External1/External1 00223.wav,,,,,,
External1/External1 00224.wav,,,,,,
External1/External1 00225.wav,,,,,,
External1/External1 00226.wav,,,,,,
External1/External1 00227.wav,,,,,,
External1/External1 00228.wav,,,,,,
External1/External1 00229.wav,,,,,,
External1/External1 00230.wav,,,,,,
External1/External1 00231.wav,,,,,,
External1/External1 00232.wav,,,,,,
External1/External1 00233.wav,,,,,,
External1/External1 00234.wav,,,,,,
External1/External1 00235.wav,,,,,,
External1/External1 00236.wav,,,,,,
External1/External1 00237.wav,,,,,,
External1/External1 00238.wav,,,,,,
External1/External1 00239.wav,,,,,,
External1/External1 00240.wav,,,,,,
External1/External1 00241.wav,,,,,,
External1/External1 00242.wav,,,,,,
External1/External1 00243.wav,,,,,,
External1/External1 00244.wav,,,,,,
External1/External1 00245.wav,,,,,,
External1/External1 00246.wav,,,,,,
External1/External1 00247.wav,,,,,,
External1/External1 00248.wav,,,,,,
External1/External1 00249.wav,,,,,,
External1/External1 00250.wav,,,,,,
External1/External1 00251.wav,,,,,,
External1/External1 00252.wav,,,,,,
External1/External1 00253.wav,,,,,,
External1/External1 00254.wav,,,,,,
External1/External1 00255.wav,,,,,,
External1/External1 00256.wav,,,,,,
External1/External1 00257.wav,,,,,,
External1/External1 00258.wav,,,,,,
External1/External1 00259.wav,,,,,,
External1/External1 00260.wav,,,,,,
External1/External1 00261.wav,,,,,,
External1/External1 00262.wav,,,,,,
External1/External1 00263.wav,,,,,,
External1/External1 00264.wav,,,,,,
External1/External1 00265.wav,,,,,,
External1/External1 00266.wav,,,,,,
