,Path,Character,Label,Text,Notes,Classes,Classes_idx
87,External0/External0 00088.wav,卡芙卡,10.0,,,,
88,External0/External0 00089.wav,未分类-女,1.0,,,,
89,External0/External0 00090.wav,克拉拉,5.0,,,,
90,External0/External0 00091.wav,桑博,17.0,,,,
91,External0/External0 00092.wav,未分类-女,1.0,,,,
92,External0/External0 00093.wav,希露瓦,3.0,,,,
93,External0/External0 00094.wav,三月七,2.0,,,,
94,External0/External0 00095.wav,卡芙卡,10.0,,,,
95,External0/External0 00096.wav,虎克,6.0,,,,
96,External0/External0 00097.wav,未分类-男,0.0,,,,
97,External0/External0 00098.wav,未分类-女,1.0,,,,
98,External0/External0 00099.wav,克拉拉,5.0,,,,
99,External0/External0 00100.wav,虎克,6.0,,,,
100,External0/External0 00101.wav,未分类-男,0.0,,,,
101,External0/External0 00102.wav,未分类-女,1.0,,,,
102,External0/External0 00103.wav,未分类-女,1.0,,,,
103,External0/External0 00104.wav,未分类-女,1.0,,,,
104,External0/External0 00105.wav,虎克,6.0,,,,
105,External0/External0 00106.wav,三月七,2.0,,,,
106,External0/External0 00107.wav,三月七,2.0,,,,
107,External0/External0 00108.wav,未分类-男,0.0,,,,
108,External0/External0 00109.wav,克拉拉,5.0,,,,
109,External0/External0 00110.wav,未分类-男,0.0,,,,
110,External0/External0 00111.wav,希露瓦,3.0,,,,
111,External0/External0 00112.wav,符玄,16.0,,,,
112,External0/External0 00113.wav,未分类-女,1.0,,,,
113,External0/External0 00114.wav,未分类-男,0.0,,,,
114,External0/External0 00115.wav,未分类-男,0.0,,,,
115,External0/External0 00116.wav,三月七,2.0,,,,
116,External0/External0 00117.wav,克拉拉,5.0,,,,
117,External0/External0 00118.wav,未分类-女,1.0,,,,
118,External0/External0 00119.wav,未分类-女,1.0,,,,
119,External0/External0 00120.wav,未分类-女,1.0,,,,
120,External0/External0 00121.wav,未分类-女,1.0,,,,
121,External0/External0 00122.wav,未分类-男,0.0,,,,
122,External0/External0 00123.wav,希露瓦,3.0,,,,
123,External0/External0 00124.wav,卡芙卡,10.0,,,,
124,External0/External0 00125.wav,希露瓦,3.0,,,,
125,External0/External0 00126.wav,未分类-男,0.0,,,,
126,External0/External0 00127.wav,克拉拉,5.0,,,,
127,External0/External0 00128.wav,未分类-男,0.0,,,,
128,External0/External0 00129.wav,未分类-女,1.0,,,,
129,External0/External0 00130.wav,虎克,6.0,,,,
130,External0/External0 00131.wav,未分类-男,0.0,,,,
131,External0/External0 00132.wav,未分类-女,1.0,,,,
132,External0/External0 00133.wav,克拉拉,5.0,,,,
133,External0/External0 00134.wav,未分类-男,0.0,,,,
134,External0/External0 00135.wav,未分类-女,1.0,,,,
135,External0/External0 00136.wav,三月七,2.0,,,,
136,External0/External0 00137.wav,未分类-女,1.0,,,,
137,External0/External0 00138.wav,希露瓦,3.0,,,,
138,External0/External0 00139.wav,克拉拉,5.0,,,,
139,External0/External0 00140.wav,未分类-女,1.0,,,,
140,External0/External0 00141.wav,三月七,2.0,,,,
141,External0/External0 00142.wav,三月七,2.0,,,,
142,External0/External0 00143.wav,未分类-女,1.0,,,,
143,External0/External0 00144.wav,布洛妮娅,7.0,,,,
144,External0/External0 00145.wav,桑博,17.0,,,,
145,External0/External0 00146.wav,姬子,4.0,,,,
146,External0/External0 00147.wav,桑博,17.0,,,,
147,External0/External0 00148.wav,三月七,2.0,,,,
148,External0/External0 00149.wav,克拉拉,5.0,,,,
149,External0/External0 00150.wav,艾丝妲,18.0,,,,
150,External0/External0 00151.wav,姬子,4.0,,,,
151,External0/External0 00152.wav,未分类-男,0.0,,,,
152,External0/External0 00153.wav,阿兰,14.0,,,,
153,External0/External0 00154.wav,未分类-女,1.0,,,,
154,External0/External0 00155.wav,虎克,6.0,,,,
155,External0/External0 00156.wav,未分类-男,0.0,,,,
156,External0/External0 00157.wav,三月七,2.0,,,,
157,External0/External0 00158.wav,未分类-男,0.0,,,,
158,External0/External0 00159.wav,未分类-女,1.0,,,,
159,External0/External0 00160.wav,未分类-男,0.0,,,,
160,External0/External0 00161.wav,三月七,2.0,,,,
161,External0/External0 00162.wav,机器人,9.0,,,,
162,External0/External0 00163.wav,未分类-女,1.0,,,,
163,External0/External0 00164.wav,未分类-男,0.0,,,,
164,External0/External0 00165.wav,希露瓦,3.0,,,,
165,External0/External0 00166.wav,未分类-女,1.0,,,,
166,External0/External0 00167.wav,虎克,6.0,,,,
167,External0/External0 00168.wav,三月七,2.0,,,,
168,External0/External0 00169.wav,景元,19.0,,,,
169,External0/External0 00170.wav,未分类-女,1.0,,,,
170,External0/External0 00171.wav,虎克,6.0,,,,
171,External0/External0 00172.wav,未分类-女,1.0,,,,
172,External0/External0 00173.wav,未分类-男,0.0,,,,
173,External0/External0 00174.wav,未分类-女,1.0,,,,
174,External0/External0 00175.wav,银狼,20.0,,,,
175,External0/External0 00176.wav,克拉拉,5.0,,,,
176,External0/External0 00177.wav,未分类-女,1.0,,,,
177,External0/External0 00178.wav,未分类-女,1.0,,,,
178,External0/External0 00179.wav,未分类-女,1.0,,,,
179,External0/External0 00180.wav,三月七,2.0,,,,
180,External0/External0 00181.wav,未分类-男,0.0,,,,
181,External0/External0 00182.wav,未分类-男,0.0,,,,
182,External0/External0 00183.wav,克拉拉,5.0,,,,
183,External0/External0 00184.wav,布洛妮娅,7.0,,,,
184,External0/External0 00185.wav,布洛妮娅,7.0,,,,
185,External0/External0 00186.wav,未分类-男,0.0,,,,
186,External0/External0 00187.wav,娜塔莎,12.0,,,,
187,External0/External0 00188.wav,三月七,2.0,,,,
188,External0/External0 00189.wav,未分类-男,0.0,,,,
189,External0/External0 00190.wav,未分类-女,1.0,,,,
190,External0/External0 00191.wav,三月七,2.0,,,,
191,External0/External0 00192.wav,虎克,6.0,,,,
192,External0/External0 00193.wav,布洛妮娅,7.0,,,,
193,External0/External0 00194.wav,丹恒,21.0,,,,
194,External0/External0 00195.wav,未分类-女,1.0,,,,
195,External0/External0 00196.wav,三月七,2.0,,,,
196,External0/External0 00197.wav,未分类-男,0.0,,,,
197,External0/External0 00198.wav,三月七,2.0,,,,
198,External0/External0 00199.wav,三月七,2.0,,,,
199,External0/External0 00200.wav,未分类-男,0.0,,,,
200,External0/External0 00201.wav,虎克,6.0,,,,
201,External0/External0 00202.wav,未分类-女,1.0,,,,
202,External0/External0 00203.wav,未分类-女,1.0,,,,
203,External0/External0 00204.wav,未分类-男,0.0,,,,
204,External0/External0 00205.wav,艾丝妲,18.0,,,,
205,External0/External0 00206.wav,桑博,17.0,,,,
206,External0/External0 00207.wav,三月七,2.0,,,,
207,External0/External0 00208.wav,未分类-女,1.0,,,,
208,External0/External0 00209.wav,未分类-女,1.0,,,,
209,External0/External0 00210.wav,未分类-女,1.0,,,,
210,External0/External0 00211.wav,未分类-男,0.0,,,,
211,External0/External0 00212.wav,三月七,2.0,,,,
212,External0/External0 00213.wav,未分类-女,1.0,,,,
213,External0/External0 00214.wav,未分类-男,0.0,,,,
214,External0/External0 00215.wav,黑塔,13.0,,,,
215,External0/External0 00216.wav,未分类-女,1.0,,,,
216,External0/External0 00217.wav,克拉拉,5.0,,,,
217,External0/External0 00218.wav,布洛妮娅,7.0,,,,
218,External0/External0 00219.wav,杰帕德,22.0,,,,
219,External0/External0 00220.wav,杨叔,11.0,,,,
220,External0/External0 00221.wav,机器人,9.0,,,,
221,External0/External0 00222.wav,未分类-女,1.0,,,,
222,External0/External0 00223.wav,卡芙卡,10.0,,,,
223,External0/External0 00224.wav,三月七,2.0,,,,
224,External0/External0 00225.wav,姬子,4.0,,,,
225,External0/External0 00226.wav,艾丝妲,18.0,,,,
226,External0/External0 00227.wav,虎克,6.0,,,,
227,External0/External0 00228.wav,希露瓦,3.0,,,,
228,External0/External0 00229.wav,未分类-女,1.0,,,,
229,External0/External0 00230.wav,停云,23.0,,,,
230,External0/External0 00231.wav,杨叔,11.0,,,,
231,External0/External0 00232.wav,未分类-女,1.0,,,,
232,External0/External0 00233.wav,桑博,17.0,,,,
233,External0/External0 00234.wav,未分类-男,0.0,,,,
234,External0/External0 00235.wav,未分类-女,1.0,,,,
235,External0/External0 00236.wav,未分类-女,1.0,,,,
236,External0/External0 00237.wav,未分类-女,1.0,,,,
237,External0/External0 00238.wav,未分类-女,1.0,,,,
238,External0/External0 00239.wav,未分类-女,1.0,,,,
239,External0/External0 00240.wav,素裳,15.0,,,,
240,External0/External0 00241.wav,三月七,2.0,,,,
241,External0/External0 00242.wav,未分类-女,1.0,,,,
242,External0/External0 00243.wav,未分类-男,0.0,,,,
243,External0/External0 00244.wav,三月七,2.0,,,,
244,External0/External0 00245.wav,未分类-女,1.0,,,,
245,External0/External0 00246.wav,未分类-男,0.0,,,,
246,External0/External0 00247.wav,未分类-女,1.0,,,,
247,External0/External0 00248.wav,未分类-女,1.0,,,,
248,External0/External0 00249.wav,未分类-男,0.0,,,,
249,External0/External0 00250.wav,未分类-男,0.0,,,,
250,External0/External0 00251.wav,未分类-女,1.0,,,,
251,External0/External0 00252.wav,未分类-男,0.0,,,,
252,External0/External0 00253.wav,未分类-女,1.0,,,,
253,External0/External0 00254.wav,卡芙卡,10.0,,,,
254,External0/External0 00255.wav,未分类-女,1.0,,,,
255,External0/External0 00256.wav,三月七,2.0,,,,
256,External0/External0 00257.wav,三月七,2.0,,,,
257,External0/External0 00258.wav,杰帕德,22.0,,,,
258,External0/External0 00259.wav,希露瓦,3.0,,,,
259,External0/External0 00260.wav,未分类-女,1.0,,,,
260,External0/External0 00261.wav,杰帕德,22.0,,,,
261,External0/External0 00262.wav,布洛妮娅,7.0,,,,
262,External0/External0 00263.wav,三月七,2.0,,,,
263,External0/External0 00264.wav,未分类-女,1.0,,,,
264,External0/External0 00265.wav,未分类-女,1.0,,,,
265,External0/External0 00266.wav,未分类-男,0.0,,,,
266,External0/External0 00267.wav,未分类-女,1.0,,,,
267,External0/External0 00268.wav,未分类-女,1.0,,,,
268,External0/External0 00269.wav,未分类-男,0.0,,,,
269,External0/External0 00270.wav,未分类-男,0.0,,,,
270,External0/External0 00271.wav,三月七,2.0,,,,
271,External0/External0 00272.wav,三月七,2.0,,,,
272,External0/External0 00273.wav,机器人,9.0,,,,
273,External0/External0 00274.wav,未分类-女,1.0,,,,
274,External0/External0 00275.wav,未分类-男,0.0,,,,
275,External0/External0 00276.wav,未分类-女,1.0,,,,
276,External0/External0 00277.wav,三月七,2.0,,,,
277,External0/External0 00278.wav,娜塔莎,12.0,,,,
278,External0/External0 00279.wav,娜塔莎,12.0,,,,
279,External0/External0 00280.wav,未分类-男,0.0,,,,
280,External0/External0 00281.wav,未分类-女,1.0,,,,
281,External0/External0 00282.wav,三月七,2.0,,,,
282,External0/External0 00283.wav,三月七,2.0,,,,
283,External0/External0 00284.wav,未分类-男,0.0,,,,
284,External0/External0 00285.wav,未分类-男,0.0,,,,
285,External0/External0 00286.wav,克拉拉,5.0,,,,
286,External0/External0 00287.wav,未分类-女,1.0,,,,
287,External0/External0 00288.wav,未分类-男,0.0,,,,
288,External0/External0 00289.wav,黑塔,13.0,,,,
289,External0/External0 00290.wav,未分类-女,1.0,,,,
290,External0/External0 00291.wav,帕姆,8.0,,,,
291,External0/External0 00292.wav,未分类-男,0.0,,,,
292,External0/External0 00293.wav,三月七,2.0,,,,
293,External0/External0 00294.wav,三月七,2.0,,,,
294,External0/External0 00295.wav,希露瓦,3.0,,,,
295,External0/External0 00296.wav,未分类-女,1.0,,,,
296,External0/External0 00297.wav,未分类-女,1.0,,,,
297,External0/External0 00298.wav,未分类-女,1.0,,,,
298,External0/External0 00299.wav,未分类-女,1.0,,,,
299,External0/External0 00300.wav,杨叔,11.0,,,,
300,External0/External0 00301.wav,未分类-男,0.0,,,,
301,External0/External0 00302.wav,未分类-男,0.0,,,,
302,External0/External0 00303.wav,未分类-女,1.0,,,,
303,External0/External0 00304.wav,未分类-男,0.0,,,,
304,External0/External0 00305.wav,娜塔莎,12.0,,,,
305,External0/External0 00306.wav,未分类-女,1.0,,,,
306,External0/External0 00307.wav,希露瓦,3.0,,,,
307,External0/External0 00308.wav,希露瓦,3.0,,,,
308,External0/External0 00309.wav,未分类-女,1.0,,,,
309,External0/External0 00310.wav,未分类-男,0.0,,,,
310,External0/External0 00311.wav,未分类-女,1.0,,,,
311,External0/External0 00312.wav,布洛妮娅,7.0,,,,
312,External0/External0 00313.wav,布洛妮娅,7.0,,,,
313,External0/External0 00314.wav,三月七,2.0,,,,
314,External0/External0 00315.wav,未分类-男,0.0,,,,
315,External0/External0 00316.wav,未分类-女,1.0,,,,
316,External0/External0 00317.wav,未分类-男,0.0,,,,
317,External0/External0 00318.wav,克拉拉,5.0,,,,
318,External0/External0 00319.wav,未分类-男,0.0,,,,
319,External0/External0 00320.wav,未分类-男,0.0,,,,
320,External0/External0 00321.wav,希露瓦,3.0,,,,
321,External0/External0 00322.wav,克拉拉,5.0,,,,
322,External0/External0 00323.wav,未分类-女,1.0,,,,
323,External0/External0 00324.wav,虎克,6.0,,,,
324,External0/External0 00325.wav,未分类-女,1.0,,,,
325,External0/External0 00326.wav,未分类-女,1.0,,,,
326,External0/External0 00327.wav,未分类-男,0.0,,,,
327,External0/External0 00328.wav,姬子,4.0,,,,
328,External0/External0 00329.wav,未分类-女,1.0,,,,
329,External0/External0 00330.wav,未分类-女,1.0,,,,
330,External0/External0 00331.wav,未分类-男,0.0,,,,
331,External0/External0 00332.wav,三月七,2.0,,,,
332,External0/External0 00333.wav,未分类-男,0.0,,,,
333,External0/External0 00334.wav,三月七,2.0,,,,
334,External0/External0 00335.wav,虎克,6.0,,,,
335,External0/External0 00336.wav,三月七,2.0,,,,
336,External0/External0 00337.wav,虎克,6.0,,,,
337,External0/External0 00338.wav,未分类-女,1.0,,,,
338,External0/External0 00339.wav,三月七,2.0,,,,
339,External0/External0 00340.wav,未分类-男,0.0,,,,
340,External0/External0 00341.wav,希露瓦,3.0,,,,
341,External0/External0 00342.wav,未分类-女,1.0,,,,
342,External0/External0 00343.wav,希露瓦,3.0,,,,
343,External0/External0 00344.wav,未分类-女,1.0,,,,
344,External0/External0 00345.wav,未分类-男,0.0,,,,
345,External0/External0 00346.wav,杨叔,11.0,,,,
346,External0/External0 00347.wav,未分类-男,0.0,,,,
347,External0/External0 00348.wav,希露瓦,3.0,,,,
348,External0/External0 00349.wav,虎克,6.0,,,,
349,External0/External0 00350.wav,希露瓦,3.0,,,,
350,External0/External0 00351.wav,丹恒,21.0,,,,
351,External0/External0 00352.wav,未分类-女,1.0,,,,
352,External0/External0 00353.wav,未分类-女,1.0,,,,
353,External0/External0 00354.wav,未分类-女,1.0,,,,
354,External0/External0 00355.wav,佩拉,24.0,,,,
355,External0/External0 00356.wav,杨叔,11.0,,,,
356,External0/External0 00357.wav,希露瓦,3.0,,,,
357,External0/External0 00358.wav,未分类-女,1.0,,,,
358,External0/External0 00359.wav,克拉拉,5.0,,,,
359,External0/External0 00360.wav,丹恒,21.0,,,,
360,External0/External0 00361.wav,未分类-女,1.0,,,,
361,External0/External0 00362.wav,未分类-男,0.0,,,,
362,External0/External0 00363.wav,未分类-女,1.0,,,,
363,External0/External0 00364.wav,虎克,6.0,,,,
364,External0/External0 00365.wav,希露瓦,3.0,,,,
365,External0/External0 00366.wav,未分类-男,0.0,,,,
366,External0/External0 00367.wav,未分类-男,0.0,,,,
367,External0/External0 00368.wav,未分类-男,0.0,,,,
368,External0/External0 00369.wav,帕姆,8.0,,,,
369,External0/External0 00370.wav,未分类-男,0.0,,,,
370,External0/External0 00371.wav,姬子,4.0,,,,
371,External0/External0 00372.wav,未分类-女,1.0,,,,
372,External0/External0 00373.wav,未分类-男,0.0,,,,
373,External0/External0 00374.wav,虎克,6.0,,,,
374,External0/External0 00375.wav,景元,19.0,,,,
375,External0/External0 00376.wav,虎克,6.0,,,,
376,External0/External0 00377.wav,虎克,6.0,,,,
377,External0/External0 00378.wav,未分类-男,0.0,,,,
378,External0/External0 00379.wav,未分类-女,1.0,,,,
379,External0/External0 00380.wav,杨叔,11.0,,,,
380,External0/External0 00381.wav,未分类-女,1.0,,,,
381,External0/External0 00382.wav,虎克,6.0,,,,
382,External0/External0 00383.wav,姬子,4.0,,,,
383,External0/External0 00384.wav,未分类-女,1.0,,,,
384,External1/External1 00001.wav,,3.0,,,,
385,External1/External1 00002.wav,,1.0,,,,
386,External1/External1 00003.wav,,0.0,,,,
387,External1/External1 00004.wav,,1.0,,,,
388,External1/External1 00005.wav,,1.0,,,,
389,External1/External1 00006.wav,,6.0,,,,
390,External1/External1 00007.wav,,1.0,,,,
391,External1/External1 00008.wav,,7.0,,,,
392,External1/External1 00009.wav,,3.0,,,,
393,External1/External1 00010.wav,,0.0,,,,
394,External1/External1 00011.wav,,0.0,,,,
395,External1/External1 00012.wav,,0.0,,,,
396,External1/External1 00013.wav,,0.0,,,,
397,External1/External1 00014.wav,,0.0,,,,
398,External1/External1 00015.wav,,1.0,,,,
399,External1/External1 00016.wav,,1.0,,,,
400,External1/External1 00017.wav,,1.0,,,,
401,External1/External1 00018.wav,,1.0,,,,
402,External1/External1 00019.wav,,1.0,,,,
403,External1/External1 00020.wav,,1.0,,,,
404,External1/External1 00021.wav,,6.0,,,,
405,External1/External1 00022.wav,,2.0,,,,
406,External1/External1 00023.wav,,3.0,,,,
407,External1/External1 00024.wav,,2.0,,,,
408,External1/External1 00025.wav,,12.0,,,,
409,External1/External1 00026.wav,,1.0,,,,
410,External1/External1 00027.wav,,7.0,,,,
411,External1/External1 00028.wav,,1.0,,,,
412,External1/External1 00029.wav,,0.0,,,,
413,External1/External1 00030.wav,,7.0,,,,
414,External1/External1 00031.wav,,1.0,,,,
415,External1/External1 00032.wav,,1.0,,,,
416,External1/External1 00033.wav,,0.0,,,,
417,External1/External1 00034.wav,,2.0,,,,
418,External1/External1 00035.wav,,12.0,,,,
419,External1/External1 00036.wav,,1.0,,,,
420,External1/External1 00037.wav,,3.0,,,,
421,External1/External1 00038.wav,,1.0,,,,
422,External1/External1 00039.wav,,1.0,,,,
423,External1/External1 00040.wav,,2.0,,,,
424,External1/External1 00041.wav,,1.0,,,,
425,External1/External1 00042.wav,,1.0,,,,
426,External1/External1 00043.wav,,2.0,,,,
427,External1/External1 00044.wav,,1.0,,,,
428,External1/External1 00045.wav,,0.0,,,,
429,External1/External1 00046.wav,,0.0,,,,
430,External1/External1 00047.wav,,0.0,,,,
431,External1/External1 00048.wav,,0.0,,,,
432,External1/External1 00049.wav,,0.0,,,,
433,External1/External1 00050.wav,,3.0,,,,
434,External1/External1 00051.wav,,6.0,,,,
435,External1/External1 00052.wav,,11.0,,,,
436,External1/External1 00053.wav,,1.0,,,,
437,External1/External1 00054.wav,,6.0,,,,
438,External1/External1 00055.wav,,11.0,,,,
439,External1/External1 00056.wav,,5.0,,,,
440,External1/External1 00057.wav,,6.0,,,,
441,External1/External1 00058.wav,,3.0,,,,
442,External1/External1 00059.wav,,0.0,,,,
443,External1/External1 00060.wav,,1.0,,,,
444,External1/External1 00061.wav,,1.0,,,,
445,External1/External1 00062.wav,,0.0,,,,
446,External1/External1 00063.wav,,2.0,,,,
447,External1/External1 00064.wav,,2.0,,,,
448,External1/External1 00065.wav,,0.0,,,,
449,External1/External1 00066.wav,,2.0,,,,
450,External1/External1 00067.wav,,0.0,,,,
451,External1/External1 00068.wav,,1.0,,,,
452,External1/External1 00069.wav,,1.0,,,,
453,External1/External1 00070.wav,,1.0,,,,
454,External1/External1 00071.wav,,0.0,,,,
455,External1/External1 00072.wav,,0.0,,,,
456,External1/External1 00073.wav,,8.0,,,,
457,External1/External1 00074.wav,,11.0,,,,
458,External1/External1 00075.wav,,1.0,,,,
459,External1/External1 00076.wav,,2.0,,,,
460,External1/External1 00077.wav,,0.0,,,,
461,External1/External1 00078.wav,,3.0,,,,
462,External1/External1 00079.wav,,1.0,,,,
463,External1/External1 00080.wav,,1.0,,,,
464,External1/External1 00081.wav,,1.0,,,,
465,External1/External1 00082.wav,,1.0,,,,
466,External1/External1 00083.wav,,1.0,,,,
467,External1/External1 00084.wav,,9.0,,,,
468,External1/External1 00085.wav,,1.0,,,,
469,External1/External1 00086.wav,,2.0,,,,
470,External1/External1 00087.wav,,2.0,,,,
471,External1/External1 00088.wav,,3.0,,,,
472,External1/External1 00089.wav,,2.0,,,,
473,External1/External1 00090.wav,,1.0,,,,
474,External1/External1 00091.wav,,6.0,,,,
475,External1/External1 00092.wav,,18.0,,,,
476,External1/External1 00093.wav,,6.0,,,,
477,External1/External1 00094.wav,,0.0,,,,
478,External1/External1 00095.wav,,0.0,,,,
479,External1/External1 00096.wav,,1.0,,,,
480,External1/External1 00097.wav,,1.0,,,,
481,External1/External1 00098.wav,,0.0,,,,
482,External1/External1 00099.wav,,2.0,,,,
483,External1/External1 00100.wav,,0.0,,,,
484,External1/External1 00101.wav,,1.0,,,,
485,External1/External1 00102.wav,,0.0,,,,
486,External1/External1 00103.wav,,6.0,,,,
487,External1/External1 00104.wav,,1.0,,,,
488,External1/External1 00105.wav,,0.0,,,,
489,External1/External1 00106.wav,,6.0,,,,
490,External1/External1 00107.wav,,1.0,,,,
491,External1/External1 00108.wav,,1.0,,,,
492,External1/External1 00109.wav,,0.0,,,,
493,External1/External1 00110.wav,,1.0,,,,
494,External1/External1 00111.wav,,3.0,,,,
495,External1/External1 00112.wav,,1.0,,,,
496,External1/External1 00113.wav,,1.0,,,,
497,External1/External1 00114.wav,,21.0,,,,
498,External1/External1 00115.wav,,0.0,,,,
499,External1/External1 00116.wav,,12.0,,,,
500,External1/External1 00117.wav,,1.0,,,,
501,External1/External1 00118.wav,,6.0,,,,
502,External1/External1 00119.wav,,1.0,,,,
503,External1/External1 00120.wav,,1.0,,,,
504,External1/External1 00121.wav,,2.0,,,,
505,External1/External1 00122.wav,,0.0,,,,
506,External1/External1 00123.wav,,6.0,,,,
507,External1/External1 00124.wav,,2.0,,,,
508,External1/External1 00125.wav,,0.0,,,,
509,External1/External1 00126.wav,,3.0,,,,
510,External1/External1 00127.wav,,6.0,,,,
511,External1/External1 00128.wav,,12.0,,,,
512,External1/External1 00129.wav,,1.0,,,,
513,External1/External1 00130.wav,,0.0,,,,
514,External1/External1 00131.wav,,2.0,,,,
515,External1/External1 00132.wav,,1.0,,,,
516,External1/External1 00133.wav,,3.0,,,,
517,External1/External1 00134.wav,,6.0,,,,
518,External1/External1 00135.wav,,6.0,,,,
519,External1/External1 00136.wav,,1.0,,,,
520,External1/External1 00137.wav,,1.0,,,,
521,External1/External1 00138.wav,,0.0,,,,
522,External1/External1 00139.wav,,1.0,,,,
